Week of the month,Day of the week,Non-urgent order,Urgent order,Order type A,Order type B,Order type C,Fiscal sector orders,Orders from the traffic controller sector,Banking orders (1),Banking orders (2),Banking orders (3),Target (Total orders)
1st week,Wed,316,223,61,175,302,0,65556,44914,188411,14793,539
1st week,Thu,128,96,38,56,130,0,40419,21399,89461,7679,224
1st week,Fri,43,84,21,25,82,1,11992,3452,21305,14947,129
2nd week,Mon,171,127,41,113,162,18,49971,33703,69054,18423,317
2nd week,Tue,90,113,37,56,116,6,48534,19646,16411,20257,210
2nd week,Wed,110,96,30,50,125,79,52042,8773,47522,24966,207
2nd week,Thu,144,118,43,66,153,0,46573,33597,48269,20973,263
2nd week,Fri,119,113,38,85,124,15,35033,26278,56665,18502,248
3rd week,Mon,218,124,33,148,162,1,66612,19461,103376,10458,344
3rd week,Tue,146,101,36,43,168,865,58224,7742,82395,11948,248
3rd week,Wed,178,102,45,111,124,194,47046,17299,108719,15560,281
3rd week,Thu,145,91,43,66,133,6,66910,17768,36693,29046,243
3rd week,Fri,170,114,43,136,128,23,32529,34002,78153,31949,308
4th week,Mon,220,141,46,120,196,1,34878,32905,117137,29188,363
4th week,Tue,193,141,56,136,143,1,57858,23956,101048,30134,336
4th week,Wed,122,124,56,78,112,0,52321,10046,62799,24233,246
4th week,Thu,144,158,51,92,164,6,47167,6440,91784,15973,308
4th week,Fri,105,108,47,71,113,19,42737,26020,27873,17600,233
5th week,Mon,240,163,59,157,187,0,39273,32917,155617,9203,404
1st week,Tue,131,166,90,80,127,844,60543,19141,78378,73839,298
1st week,Wed,130,98,42,43,142,193,54760,9163,29874,46992,229
1st week,Thu,123,103,47,72,116,9,48732,21196,47793,47574,236
1st week,Fri,190,87,32,127,137,18,46368,36798,92701,31098,297
2nd week,Mon,266,141,58,139,211,1,58081,43333,135314,29716,409
2nd week,Tue,123,106,36,75,119,1,45340,22109,55584,29803,231
2nd week,Wed,148,85,35,79,123,5,59686,14188,67617,32319,238
2nd week,Thu,118,100,54,75,105,16,40423,24682,47563,35314,235
2nd week,Fri,146,95,37,59,144,0,50908,45733,43930,28998,242
3rd week,Mon,299,133,57,236,196,57,71772,57756,159373,29160,490
3rd week,Tue,151,131,43,89,156,6,53573,42638,62732,32386,289
3rd week,Wed,206,92,45,148,104,93,49110,36904,126632,33237,298
3rd week,Thu,170,131,45,120,157,21,42534,79556,50433,36483,323
4th week,Tue,435,181,67,267,281,0,64867,210508,177229,30514,616
4th week,Wed,235,110,70,154,121,55,23257,163452,63699,33805,346
4th week,Thu,168,125,71,100,136,14,28072,95989,50763,55445,307
4th week,Fri,172,77,64,109,80,3,46321,66498,61593,31625,253
5th week,Mon,381,140,118,260,152,9,34236,194216,136035,47601,530
5th week,Tue,221,111,51,124,157,529,39964,136119,66745,31031,333
5th week,Wed,193,111,47,99,159,540,59179,94460,54772,34616,306
1st week,Fri,275,121,109,131,175,20,37906,138536,85378,14020,416
2nd week,Mon,252,150,77,154,182,12,32133,69093,169088,12516,415
2nd week,Tue,165,102,46,96,124,0,48458,43112,72840,11304,268
2nd week,Wed,126,108,53,69,111,418,42201,13736,70191,16710,234
2nd week,Thu,112,106,47,77,109,15,35316,25876,38646,13989,234
2nd week,Fri,123,94,48,72,109,12,43284,30138,52112,12632,230
3rd week,Mon,187,167,59,130,168,2,37817,36445,103567,10443,357
3rd week,Tue,119,139,44,99,115,0,54584,17242,59231,12543,259
3rd week,Wed,127,114,39,110,94,1,33366,21103,84558,16683,244
3rd week,Thu,120,112,39,240,122,169,37387,20246,63778,13886,402
3rd week,Fri,130,105,57,88,109,19,27200,41713,59513,12260,255
4th week,Mon,222,120,41,135,165,0,39446,29290,154144,10811,342
4th week,Tue,150,116,34,115,118,1,51346,19782,89704,12182,268
4th week,Wed,96,87,32,81,74,4,34631,22420,49644,15390,188
4th week,Thu,89,99,51,51,98,12,31850,32150,21573,13807,202
4th week,Fri,134,79,36,71,105,0,33970,28701,65199,11023,213
5th week,Mon,158,158,59,92,165,0,32027,33282,128269,9287,316
5th week,Tue,150,133,54,115,116,2,51235,34421,87708,11354,286
5th week,Wed,193,109,58,142,102,274,28364,88404,91367,15003,303
5th week,Thu,196,108,76,96,131,0,37011,109931,50112,12957,304
5th week,Fri,192,121,107,121,103,18,27328,108072,56015,10690,331
